ward_num,year,flood_count,ward_name,area_km2,sewer_len_km,mean_install_year,mean_diameter,old_sewer_km,pct_old_sewer,pct_small_diam,river_len_km,river_sewer_overlap_km,sewer_density,river_density,sewer_age,weak_sewer_km,river_x_weaksewer,precip_mm,rain_mm,snow_cm,heavy_days,precip_hours,river_x_heavy,weaksewer_x_heavy,riveroverlap_x_heavy
2,2010,118.0,Etobicoke Centre,37.33975371405406,16.937263171496145,1959.7088571496665,1015.0818552976485,9.093376679460915,0.5368858349419893,0.40696475310855784,0.0,0.0,0.4535986846940889,0.0,62.29114285033347,9.093376679460915,0.0,709.2,666.8,40.25,2,951.0,0.0,18.18675335892183,0.0
3,2010,90.0,Etobicoke-Lakeshore,40.01243087301818,33.780595124299666,1959.0919417937848,1153.171061684548,18.07278302555975,0.5350048736281532,0.427534706278702,0.0,0.0,0.8442525082143693,0.0,62.90805820621517,18.07278302555975,0.0,709.2,666.8,40.25,2,951.0,0.0,36.1455660511195,0.0
4,2010,137.0,Parkdale-High Park,15.324932601393188,3.438984851369927,1936.8595411140805,1369.1669076787987,2.0810067123721794,0.6051223841661314,0.006721574685622888,12.647507939584449,0.31213822379371625,0.2244045661288774,0.8252896289041209,85.14045888591954,2.0810067123721794,0.4994012278700435,709.2,666.8,40.25,2,951.0,1.6505792578082419,4.162013424744359,0.6242764475874325
5,2010,274.0,York South-Weston,24.97356667631694,26.766267692661632,1950.6137670197415,1467.640926805777,20.524105733566138,0.7667899749501917,0.08629647890927655,23.993165641934795,7.013153628509131,1.0717839401788274,0.9607424503240106,71.38623298025846,20.524105733566138,0.736687679417534,709.2,666.8,40.25,2,951.0,1.9214849006480212,41.048211467132276,14.026307257018262
6,2010,324.0,York Centre,35.35267319601433,20.39218380119885,1966.3502179447437,1235.4359430961936,9.053615094968425,0.4439747691189487,0.28088650304913293,33.8970993777612,8.83928775031618,0.5768215514604387,0.9588270507810642,55.64978205525631,9.053615094968425,0.4256950184955255,709.2,666.8,40.25,2,951.0,1.9176541015621285,18.10723018993685,17.67857550063236
7,2010,165.0,Humber River-Black Creek,30.69420658597782,8.519778123046532,1959.5866677738884,1003.7238508209028,4.853968680842798,0.5697294707373317,0.2658610382415345,0.0,0.0,0.27756958301501305,0.0,62.413332226111606,4.853968680842798,0.0,709.2,666.8,40.25,2,951.0,0.0,9.707937361685596,0.0
8,2010,51.0,Eglinton-Lawrence,22.657719856983817,20.56681964535326,1951.620484291812,1656.0547848675828,13.626838088875415,0.6625641846358185,0.04981866167784881,49.563341067097156,19.654190136239787,0.9077179775887256,2.1874814138378618,70.37951570818791,13.626838088875415,1.4493468393654902,709.2,666.8,40.25,2,951.0,4.3749628276757235,27.25367617775083,39.308380272479575
9,2010,177.0,Davenport,12.092764199613006,2.4774486910009004,1958.634013264649,1852.9897186513444,0.7965447311883609,0.32151815457641353,0.0,22.779630881086767,4.07888543520061,0.20487033817133257,1.8837405993425196,63.36598673535104,0.7965447311883609,0.6056568012012741,709.2,666.8,40.25,2,951.0,3.767481198685039,1.5930894623767218,8.15777087040122
10,2010,202.0,Spadina-Fort York,18.698987381759622,14.666584750220604,1947.2361628604338,2195.4671008948226,6.837700880062713,0.4662094820649958,0.014643720295538018,15.161141481866219,6.504644955947919,0.784351818137889,0.8108001343781599,74.76383713956625,6.837700880062713,0.3780027107066709,709.2,666.8,40.25,2,951.0,1.6216002687563198,13.675401760125427,13.009289911895838
11,2010,327.0,University-Rosedale,13.594704244626001,5.634714738256236,1966.3407826269856,3646.281200108154,0.022988246617577247,0.004079753401090784,0.05122563201500643,20.752800773694148,2.480038275193153,0.4144786555752873,1.5265356568457713,55.65921737301437,0.022988246617577247,0.0062278890379028895,709.2,666.8,40.25,2,951.0,3.0530713136915426,0.04597649323515449,4.960076550386306
12,2010,198.0,Toronto-St. Paul's,13.119079184322695,7.99810887469478,1949.5318307951115,2727.6797383868216,4.0724362100101255,0.5091748904412777,0.011236179073602299,19.110091759399243,6.210414702472509,0.6096547449955576,1.45666410659643,72.46816920488845,4.0724362100101255,0.741696786885979,709.2,666.8,40.25,2,951.0,2.91332821319286,8.144872420020251,12.420829404945017
13,2010,307.0,Toronto Centre,5.861978760190288,13.451075980318636,1943.92133419495,2557.076052524731,5.597445399401714,0.41613365411003495,0.01613878249527002,18.62655068739639,7.897617470483735,2.294630623991206,3.177519306943334,78.07866580504992,5.597445399401714,1.3222727202035154,709.2,666.8,40.25,2,951.0,6.355038613886668,11.194890798803428,15.79523494096747
14,2010,167.0,Toronto-Danforth,21.798055615035086,23.589900903412374,1947.1588684438966,2868.454104266577,11.17001854690989,0.4735084980918297,0.006614523328547946,24.091682221342307,6.592037691748661,1.0822020697635697,1.1052216145703015,74.84113155610339,11.17001854690989,0.5233318267738106,709.2,666.8,40.25,2,951.0,2.210443229140603,22.34003709381978,13.184075383497323
15,2010,282.0,Don Valley West,30.29144696302436,29.26589381381763,1946.766889130305,1968.9721483159524,24.795875894849836,0.8472618691434834,0.23243206828997962,28.387162823286722,9.836011594357993,0.9661438045380076,0.9371345930730174,75.23311086969511,24.795875894849836,0.7939984069660625,709.2,666.8,40.25,2,951.0,1.8742691861460348,49.59175178969967,19.672023188715986
16,2010,264.0,Don Valley East,22.961197918113417,13.878017333710863,1958.3321017754122,1235.0184943198562,11.944627209662139,0.860686863436007,0.1738105748566399,24.213762537486556,7.582434340982408,0.6044117290049097,1.0545513619907882,63.667898224587816,11.944627209662139,0.9076385040840207,709.2,666.8,40.25,2,951.0,2.1091027239815765,23.889254419324278,15.164868681964816
